Function name;Count;Files name
rpcpad;1;['nfs_func.inc']
wmi_user_useraccount;1;['wmi_user.inc']
set_mysql_version;1;['misc_func.inc']
open_file;1;['secpod_smb_func.inc']
registry_decode_sz;1;['smb_nt.inc']
qpkg_ver_cmp;1;['qpkg.inc']
check_account;1;['default_account.inc']
GetFileVersion;1;['smb_nt.inc']
cwd;1;['nfs_func.inc']
_SamrDecodeUserInfo;1;['smb_nt.inc']
smtp_send_socket;1;['smtp_func.inc']
netop_banner_items;1;['netop.inc']
get_string_version;1;['version_func.inc']
patchlevelcmp;1;['pkg-lib-bsd.inc']
wmi_file_is_file_writeable;1;['wmi_file.inc']
GetVer;1;['secpod_smb_func.inc']
ssh_login_or_reuse_connection;1;['ssh_func.inc']
unpack_uint_8;1;['bin.inc']
registry_get_key_security;1;['smb_nt.inc']
get_http_port;1;['http_func.inc']
registry_get_sz;1;['smb_nt.inc']
kb_smb_name;1;['smb_nt.inc']
deb_str_cmp;2;['debian_package.inc', 'ubuntu.inc']
GetVersion;1;['secpod_smb_func.inc']
smb_neg_prot_anonymous;1;['smb_nt.inc']
qpkg_cmp;1;['qpkg.inc']
get_data_size;1;['ssh_func.inc']
tftp_put;1;['tftp.inc']
registry_key_writeable_by_non_admin;1;['smb_nt.inc']
php_ver_match;1;['http_func.inc']
qpkg_check;1;['qpkg.inc']
registry_enum_values;1;['secpod_smb_func.inc']
get_mysql_version;1;['misc_func.inc']
open;1;['nfs_func.inc']
ftp_authenticate;1;['ftp_func.inc']
get_unknown_svc;1;['misc_func.inc']
wmi_os_hotfix;1;['wmi_os.inc']
check_tlsv1_cipher_spec_supported;1;['secpod_ssl_ciphers.inc']
version_test;1;['version_func.inc']
wmi_misc_networkprotocol;1;['wmi_misc.inc']
ntohl;1;['network_func.inc']
raw_int32;1;['ssh_func.inc']
registry_delete_key;1;['smb_nt.inc']
unpack_uint_64;1;['bin.inc']
registry_get_acl;1;['smb_nt.inc']
netop_product_ident;1;['netop.inc']
wmi_svc;1;['wmi_svc.inc']
http_get_cache;1;['http_keepalive.inc']
isdpkgvuln;1;['pkg-lib-deb.inc']
wmi_os_windir;1;['wmi_os.inc']
isosxpkgvuln;1;['pkg-lib-macosx.inc']
smb_neg_prot_NTLMv1;1;['smb_nt.inc']
registry_get_item_sz;1;['smb_nt.inc']
wmi_proc_all;1;['wmi_proc.inc']
get_unknown_banner;1;['misc_func.inc']
registry_get_item_dword;1;['smb_nt.inc']
registry_decode_dword;1;['smb_nt.inc']
wmi_file_filesize;1;['wmi_file.inc']
pack_uint_8;1;['bin.inc']
http_check_remote_code;1;['http_keepalive.inc']
wmi_os_sysdir;1;['wmi_os.inc']
wmi_rsop_passwdpolicy;1;['wmi_rsop.inc']
smb_session_setup_NTLMSSP_auth_flags;1;['smb_nt.inc']
translate_to_cpe;1;['cpe.inc']
pack_uint_64;1;['bin.inc']
wmi_user_sysaccount;1;['wmi_user.inc']
get_rpc_port;1;['misc_func.inc']
get_http_banner;1;['http_func.inc']
bin_unpack;1;['bin.inc']
get_telnet_banner;1;['telnet_func.inc']
kb_ssh_password;1;['ssh_func.inc']
kb_ssh_privatekey;1;['ssh_func.inc']
_ExtractTime;1;['smb_nt.inc']
wmi_file_fileinfo;1;['wmi_file.inc']
raw_int8;1;['ssh_func.inc']
populate;1;['bin.inc']
wmi_misc_networkadapter;1;['wmi_misc.inc']
wmi_file_check_file_exists;1;['wmi_file.inc']
wmi_os_type;1;['wmi_os.inc']
SamrQueryUserGroups;1;['smb_nt.inc']
headers_split;1;['http_func.inc']
unpack_string_hex;1;['bin.inc']
GetPEProductVersion;1;['smbcl_func.inc']
fileread;1;['smbcl_func.inc']
wmi_hardware_logicaldisk;1;['wmi_hardware.inc']
hotfix_check_sp;1;['secpod_reg.inc']
wmi_svc_state;1;['wmi_svc.inc']
get_ssh_banner;1;['ssh_func.inc']
unpack_pad_byte;1;['bin.inc']
get_bin_version;1;['version_func.inc']
smb_get_file_size_NTLMSSP;1;['smb_nt.inc']
kex_packet;1;['ssh_func.inc']
smb_neg_prot_NTLMSSP;1;['smb_nt.inc']
version_is_less;1;['version_func.inc']
smtp_open;1;['smtp_func.inc']
wmi_svc_path;1;['wmi_svc.inc']
get_slad_plugins;1;['slad.inc']
getstring;1;['ssh_func.inc']
get_service_banner_line;1;['misc_func.inc']
SamrOpenDomain;1;['smb_nt.inc']
get_windir;1;['smbcl_func.inc']
ssh_login;1;['ssh_func.inc']
wmi_hardware_floppydrive;1;['wmi_hardware.inc']
netbios_encode;1;['smb_nt.inc']
http_vuln_check;1;['http_keepalive.inc']
smb_neg_prot_sm;1;['smb_nt.inc']
nntp_connect;1;['nntp_func.inc']
version_is_greater;1;['version_func.inc']
netbios_name;1;['smb_nt.inc']
enable_keepalive;1;['http_keepalive.inc']
ftp_recv_data;1;['ftp_func.inc']
smb_neg_prot_value;1;['smb_nt.inc']
ssh_rsa_verify;1;['ssh_func.inc']
hotfix_missing;1;['secpod_reg.inc']
smtp_send_port;1;['smtp_func.inc']
hextodec;1;['smb_nt.inc']
putstring;1;['ssh_func.inc']
umount;1;['nfs_func.inc']
bin_pack;1;['bin.inc']
smb_session_setup;1;['smb_nt.inc']
GSHB_read_file;1;['GSHB_read_file.inc']
sip_send_recv;1;['sip.inc']
check_sslv2_cipher_spec_supported;1;['secpod_ssl_ciphers.inc']
dump;1;['dump.inc']
init_add_preferences;1;['slad.inc']
https_req_get;1;['openvas-https.inc']
load_array_from_kb;1;['ssh_func.inc']
registry_close_NTLMSSP;1;['smb_nt.inc']
packet_payload;1;['ssh_func.inc']
slackware_check;1;['slackware.inc']
ftp_recv_listing;1;['ftp_func.inc']
ssh_hex2raw;1;['ssh_func.inc']
ip_checksum;1;['network_func.inc']
http_recv;1;['http_func.inc']
getdword;1;['byte_func.inc']
pipe_accessible_registry;1;['smb_nt.inc']
wmi_file_file_search;1;['wmi_file.inc']
pkg_in_list;1;['pkg-lib-macosx.inc']
registry_open_hku_NTLMSSP;1;['smb_nt.inc']
netop_each_found;1;['netop.inc']
patch_installed;1;['solaris.inc']
ubuntu_check;1;['ubuntu.inc']
pack_uint_16;1;['bin.inc']
service_is_unknown;1;['misc_func.inc']
ftp_pasv;1;['ftp_func.inc']
test_udp_port;1;['network_func.inc']
__hex_value;1;['http_func.inc']
wmi_os_version;1;['wmi_os.inc']
get_dir_from_kb;1;['version_func.inc']
smb_session_setup_NTLMSSP_AUTH;1;['smb_nt.inc']
ip_raw2dot;1;['netop.inc']
wmi_user_is_uesraccount_disabled;1;['wmi_user.inc']
samr_uc;1;['smb_nt.inc']
mkdword;1;['byte_func.inc']
bin_word;2;['secpod_smb_func.inc', 'smbcl_func.inc']
is_cgi_installed_ka;1;['http_keepalive.inc']
FindFirst2;1;['smb_nt.inc']
hexdump;1;['dump.inc']
smb_session_setup_NTLMSSP_extract_addrlist;1;['smb_nt.inc']
wmi_user_group;1;['wmi_user.inc']
session_extract_uid;1;['smb_nt.inc']
ssh_reuse_connection;1;['ssh_func.inc']
smb_session_setup_NTLMSSP_NEGOT;1;['smb_nt.inc']
wmi_rsop_auditpolicy;1;['wmi_rsop.inc']
OpenAndX_NTLMSSP;1;['smb_nt.inc']
can_host_php;1;['http_func.inc']
ssh_cmd_error;1;['ssh_func.inc']
wmi_misc_decode_owner_sid;1;['wmi_misc.inc']
smbntcreatex;1;['smb_nt.inc']
mount;1;['nfs_func.inc']
ftp_send_cmd;1;['ftp_func.inc']
pack_pad_byte;1;['bin.inc']
_check_telnet;1;['default_account.inc']
kb_ssh_passphrase;1;['ssh_func.inc']
ishpuxpkgvuln;1;['pkg-lib-hpux.inc']
smbversion;1;['smbcl_func.inc']
SamrLookupNames;1;['smb_nt.inc']
load_intarray_from_kb;1;['ssh_func.inc']
run_slad;1;['slad.inc']
isrpmvuln;1;['pkg-lib-rpm.inc']
url_hex2raw;1;['url_func.inc']
ms_since_midnight;1;['network_func.inc']
get_php_version;1;['backport.inc']
get_slad_short_description;1;['slad.inc']
pow2;1;['misc_func.inc']
recv_ssh_packet;1;['ssh_func.inc']
send_ssh_packet;1;['ssh_func.inc']
OpenPipeToSamr;1;['smb_nt.inc']
get_backport_banner;1;['backport.inc']
wmi_hardware_serialport;1;['wmi_hardware.inc']
registry_enum_key;1;['smb_nt.inc']
netop_log_detected;1;['netop.inc']
check_and_run_slad_plugins;1;['slad.inc']
check_win_dir_trav;1;['http_func.inc']
cvsdate2unixtime;1;['misc_func.inc']
kb_smb_password;1;['smb_nt.inc']
smtp_recv_line;1;['smtp_func.inc']
dump_arr;1;['bin.inc']
smb_neg_prot_domain;1;['smb_nt.inc']
add_port_in_list;1;['misc_func.inc']
tftp_alive;1;['tftp.inc']
get_pop3_banner;1;['pop3_func.inc']
wmi_hardware_floppycontroller;1;['wmi_hardware.inc']
ssh_open_channel;1;['ssh_func.inc']
get_ssh_supported_authentication;1;['ssh_func.inc']
base64_decode;1;['misc_func.inc']
kb_ssh_publickey;1;['ssh_func.inc']
unicode;1;['smb_nt.inc']
getword;1;['byte_func.inc']
line2string;1;['dump.inc']
pack_string_hex;1;['bin.inc']
wmi_misc_decode_group_sid;1;['wmi_misc.inc']
kb_ssh_transport;1;['ssh_func.inc']
ftp_recv_line;1;['ftp_func.inc']
deb_ver_cmp;1;['debian_package.inc']
registry_flush_NTLMSSP;1;['smb_nt.inc']
version_is_less_equal;1;['version_func.inc']
smb_session_setup_NTLMvN;1;['smb_nt.inc']
dump_preferences;1;['slad.inc']
GetPEFileVersion;1;['smbcl_func.inc']
get_version_from_kb;1;['version_func.inc']
read;1;['nfs_func.inc']
check_pattern;1;['ssh_func.inc']
rlsnotsupported;1;['pkg-lib-macosx.inc']
ie_latest_hotfix_update;1;['secpod_ie_supersede.inc']
unpack_uint_32;1;['bin.inc']
SamrOpenUser;1;['smb_nt.inc']
wmi_rsop_policysetting;1;['wmi_rsop.inc']
wmi_file_check_dir_exists;1;['wmi_file.inc']
ssh_dss_verify;1;['ssh_func.inc']
tftp_get;1;['tftp.inc']
readdir;1;['nfs_func.inc']
wmi_misc_split_res;1;['wmi_misc.inc']
read_file;1;['secpod_smb_func.inc']
registry_open_hku;1;['smb_nt.inc']
bin_dword;2;['secpod_smb_func.inc', 'smbcl_func.inc']
wmi_file_filecreationdate;1;['wmi_file.inc']
http_send_recv;1;['http_func.inc']
register_service;1;['misc_func.inc']
smb_session_setup_NTLMSSP_extract_chal;1;['smb_nt.inc']
wmi_file_subdir;1;['wmi_file.inc']
smtp_recv_banner;1;['smtp_func.inc']
get_imap_banner;1;['imap_func.inc']
check_smbcl;1;['smbcl_func.inc']
get_file_size;1;['secpod_smb_func.inc']
tconx_extract_tid;1;['smb_nt.inc']
registry_delete_value;1;['smb_nt.inc']
wmi_file_is_subdir_writeable;1;['wmi_file.inc']
get_port_for_service;1;['misc_func.inc']
smtp_from_header;1;['smtp_func.inc']
pack_string_null;1;['bin.inc']
ssh_exchange_identification;1;['ssh_func.inc']
wmi_hardware_idecontroller;1;['wmi_hardware.inc']
smb_session_setup_NTLMSSP_extract_flag;1;['smb_nt.inc']
wmi_file_fileversion;1;['wmi_file.inc']
SamrOpenBuiltin;1;['smb_nt.inc']
udp_ping_pong;1;['pingpong.inc']
unpack_string;1;['bin.inc']
osx_rls_name;1;['pkg-lib-macosx.inc']
SamrDom2Sid;1;['smb_nt.inc']
smb_session_setup_cleartext;1;['smb_nt.inc']
http_40x;1;['http_func.inc']
isprint;1;['dump.inc']
hex2raw;1;['misc_func.inc']
solaris_check_patch;1;['solaris.inc']
smtp_close;1;['smtp_func.inc']
is_domain;1;['smbcl_func.inc']
registry_get_dword;1;['smb_nt.inc']
smb_neg_prot_cleartext;1;['smb_nt.inc']
pack_string;1;['bin.inc']
load_int_from_kb;1;['ssh_func.inc']
nntp_post;1;['nntp_func.inc']
wmi_misc_decode_dacl;1;['wmi_misc.inc']
slad_ssh_login;1;['slad_ssh.inc']
padsz;1;['nfs_func.inc']
get_ftp_banner;1;['ftp_func.inc']
samr_smbreadx;1;['smb_nt.inc']
smbntcreatex_NTLMSSP;1;['smb_nt.inc']
dh_valid_key;1;['ssh_func.inc']
PEVersion;1;['smbcl_func.inc']
SamrQueryDomainInfo;1;['smb_nt.inc']
do_check_win_dir_trav;1;['http_func.inc']
hotfix_check_iis_installed;1;['secpod_reg.inc']
get_ssh_server_version;1;['ssh_func.inc']
netop_check_and_add_banner;1;['netop.inc']
http_keepalive_send_recv;1;['http_keepalive.inc']
hex2dec;1;['http_func.inc']
exit_if_not_found;1;['toolcheck.inc']
kb_ssh_login;1;['ssh_func.inc']
get_smtp_banner;1;['smtp_func.inc']
smb_tconx_NTLMSSP;1;['smb_nt.inc']
samr_smbwritex_NTLMSSP;1;['smb_nt.inc']
log_print;1;['global_settings.inc']
htonl;1;['network_func.inc']
decrypt;1;['ssh_func.inc']
wmi_misc_decode_sacl;1;['wmi_misc.inc']
wmi_os_buildnumber;1;['wmi_os.inc']
isdigit;1;['revisions-lib.inc']
htons;1;['network_func.inc']
check_sslv3_cipher_spec_supported;1;['secpod_ssl_ciphers.inc']
kb_smb_login;1;['smb_nt.inc']
wmi_misc_logicaldiskpartition;1;['wmi_misc.inc']
smb_close_request;1;['smb_nt.inc']
ssh_close_connection;1;['ssh_func.inc']
ssh_kex2;1;['ssh_func.inc']
crypt;1;['ssh_func.inc']
wmi_proc_path;1;['wmi_proc.inc']
smb_tconx;1;['smb_nt.inc']
osx_ver;1;['pkg-lib-macosx.inc']
wmi_file_is_file_readable;1;['wmi_file.inc']
registry_open_hklm;1;['smb_nt.inc']
wmi_hardware_scsicontroller;1;['wmi_hardware.inc']
ldap_alive;1;['ldap.inc']
ntol;1;['ssh_func.inc']
smtp_to_header;1;['smtp_func.inc']
version_is_greater_equal;1;['version_func.inc']
smb_session_request;1;['smb_nt.inc']
wmi_file_filelist;1;['wmi_file.inc']
