Function name;Count;Files name
open_sock_udp;4;['misc_func.inc', 'pingpong.inc', 'sip.inc', 'sip.inc']
make_list;31;['cpe.inc', 'http_func.inc', 'http_func.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'misc_func.inc', 'nfs_func.inc', 'nfs_func.inc', 'qpkg.inc', 'secpod_ie_supersede.inc', 'secpod_ie_supersede.inc', 'secpod_reg.inc', 'secpod_ssl_ciphers.inc', 'secpod_ssl_ciphers.inc', 'secpod_ssl_ciphers.inc', 'secpod_ssl_ciphers.inc', 'secpod_ssl_ciphers.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'smb_nt.inc', 'ssh_func.inc', 'ssh_func.inc', 'GSHB_BruteForce.inc']
version_is_less_equal;1;['version_func.inc']
smb_session_setup_NTLMvN;2;['smb_nt.inc', 'smb_nt.inc']
version_is_equal;2;['version_func.inc', 'version_func.inc']
version_is_less;3;['version_func.inc', 'version_func.inc', 'version_func.inc']
file_open;2;['smbcl_func.inc', 'smbcl_func.inc']
ssh_login;3;['default_account.inc', 'slad_ssh.inc', 'ssh_func.inc']
bf_cbc_encrypt;1;['ssh_func.inc']
http_keepalive_recv_body;1;['http_keepalive.inc']
shared_socket_release;1;['ssh_func.inc']
netbios_encode;1;['smb_nt.inc']
mac_compute;2;['ssh_func.inc', 'ssh_func.inc']
